original_id,provider_name_en,provider_name_cy,source_name_en,source_name_cy
10103,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),"Maternity data, Patient Episode Database for Wales (PEDW)","Data mamolaeth, Cronfa Ddata Cyfnodau Gofal Cleifion Cymru (PEDW)"
10321,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Maternity Indicators Dataset (MIDS),Set Ddata Dangosyddion Mamolaeth (MIDS)
10098,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),National Community Child Health Database (NCCHD),Cronfa Ddata Genedlaethol ar Iechyd Plant Cymunedol (NCCHD)
10300,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Outpatient Activity Minimum Dataset (OP MDS),Set Ddata Gweithgaredd Sylfaenol Cleifion Allanol (OP MDS)
10177,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Outpatient Referral Dataset (OPR),Set Ddata Atgyfeiriad Cleifion Allanol (OPR)
10106,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Patient Episode Database for Wales (PEDW),Cronfa Ddata Cyfnodau Gofal Cleifion Cymru (PEDW)
10150,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Psychiatric Census,Cyfrifiad Seiciatrig
10153,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),QueSt1 return,Ffurflen QueSt1
10182,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Referral to Treatment Times (RTT),Atgyfeiriad am driniaeth (RTT)
10366,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Suspected Cancer Pathway (SCP),Lwybr Canser a Amheuir (SCP)
10371,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Welsh Immunisation System (WIS),System Imiwneiddio Cymru (WIS)
10194,Digital Health and Care Wales (DHCW),Iechyd a Gofal Digidol Cymru (DHCW),Welsh National Database for Substance Misuse (WNDSM),Cronfa Ddata Genedlaethol Cymru ar Gamddefnyddio Sylweddau (WNDSM)
10213,Forestry Commission,Comisiwn Coedwigaeth,Forestry statistics,Ystadegau coedwigaeth
10212,Forestry Commission,Comisiwn Coedwigaeth,National Forest Inventory (NFI),Rhestr Genedlaethol o Goedwigoedd (NFI)
10211,Forestry Commission,Comisiwn Coedwigaeth,Public Opinion of Forestry Survey,Barn y Cyhoedd am yr Arolwg Coedwigaeth
10198,Further Education Institutions,Sefydliadau Addysg Bellach,Finance records,Cofnodion cyllid
10145,Health and Social Care Information Centre (HSCIC),Iechyd a Gofal Cymdeithasol a Canolfan Gwybodaeth (HSCIC),General Medical Services (GMS) census,Cyfrifiad y Gwasanaethau Meddygol Cyffredinol (GMS)
10313,Health Behaviours in School-aged Children (HBSC),Ymddygiadau Iechyd mewn Plant Oedran Ysgol (HBSC),No specific data source,Dim ffynhonnell ddata benodol
10289,Higher Education Statistics Agency,Yr Asiantaeth Ystadegau Addysg Uwch,Finance record,Cofnod cyllid
10288,Higher Education Statistics Agency,Yr Asiantaeth Ystadegau Addysg Uwch,Staff record,Cofnod staff
10139,Higher Education Statistics Agency,Yr Asiantaeth Ystadegau Addysg Uwch,Student record,Cofnod myfyrwyr
10262,HM Land Registry,Cofrestrfa Tir EF,House prices data,Data ar brisiau tai
10119,HM Revenue and Customs (HMRC),Cyllid a Thollau EF,Survey of Personal Incomes (SPI),Arolwg o Incwm Personol (SPI)
10265,HM Revenue and Customs (HMRC),Cyllid a Thollau EF,Tax records,Cofnodion treth
10221,HM Treasury,Trysorlys EF,Public Expenditure Statistical Analysis (PESA),Diweddariad Dadansoddiadau Ystadegol o Wariant Cyhoeddus (PESA)
10310,Home Office,Swyddfa Gartref,Breath test statistics for England and Wales,Ystadegau prawf anadl ar gyfer Lloegr a Chymru
10088,Home Office,Swyddfa Gartref,Fire incident recording system,System cofnodi achosion o dân
10309,Home Office,Swyddfa Gartref,Fixed penalty notices for motoring offences statistics in England and Wales,Ystadegau hysbysiadau cosb benodedig ar gyfer troseddau moduro yn Lloegr a Chymru
10108,Home Office,Swyddfa Gartref,Police service strength,Cryfder y gwasanaeth heddlu
10091,Iron and Steel Statistics Bureau,Biwro Ystadegau Haearn a Dur,No specific data source,Dim ffynhonnell ddata benodol
10190,Low Vision Service Wales,Gwasanaeth Golwg Gwan Cymru,Administrative data,Data gweinyddol
10282,Ministry of Justice,Weinyddiaeth Gyfiawnder,Mortgage and landlord possesion statistics,Ystadegau ar forgeisiau a meddiannaeth landlordiaid
10364,Ministry of Justice,Weinyddiaeth Gyfiawnder,"Motoring offenders, Criminal justice statistics","Troseddwyr moduron, Ystadegau cyfiawnder troseddol"
10191,Moorfields Eye Hospital,Ysbyty Llygaid Moorfields,Administrative data,Data gweinyddol
10238,National Atmospheric Emissions Inventory,Rhestr Allyriadau Atmosfferig Genedlaethol,No specific data source,Dim ffynhonnell ddata benodol
10170,Natural Resources Wales,Cyfoeth Naturiol Cymru,Construction and Demolition Waste Survey,Arolwg o Wastraff Adeiladu a Dymchwel
10219,Natural Resources Wales,Cyfoeth Naturiol Cymru,Forestry Resource Study,Astudiaeth o Adnoddau Coedwigaeth
10100,Natural Resources Wales,Cyfoeth Naturiol Cymru,Industrial and Commercial Waste Survey,Arolwg o Wastraff Diwydiannol a Masnachol
10268,Natural Resources Wales,Cyfoeth Naturiol Cymru,National Flood Risk Assessment data,Data Cenedlaethol ar Asesu Risg Llifogydd
10274,Natural Resources Wales,Cyfoeth Naturiol Cymru,Proximity to Waste Disposal and Industrial Sites data,Data ar Agosrwydd at Safleoedd Gwaredu Gwastraff a Diwydiannol
10218,Natural Resources Wales,Cyfoeth Naturiol Cymru,Special Areas of Conservation data,Data ar Ardaloedd Cadwraeth Arbennig
10202,Natural Resources Wales,Cyfoeth Naturiol Cymru,Survey of Community Woodland Groups,Arolwg o Grwpiau Coetiroedd Cymunedol
10216,Natural Resources Wales,Cyfoeth Naturiol Cymru,Survey of Farmers with Woodland on their Farms,Arolwg o Ffermwyr â Choetiroedd ar eu Ffermydd
10230,Natural Resources Wales,Cyfoeth Naturiol Cymru,Survey of Woodland Enterprises,Arolwg o Fusnesau Coetir
10124,Natural Resources Wales,Cyfoeth Naturiol Cymru,WasteDataFlow,WasteDataFlow
10214,Natural Resources Wales,Cyfoeth Naturiol Cymru,Welsh Outdoor Recreation Survey,Arolwg Hamdden Awyr Agored Cymru
10244,NHS Blood and Transplant Service,Gwaed a Thrawsblaniadau’r GIG,Administrative data,Data gweinyddol
10149,NHS Business Services Authority,Awdurdod Gwasanaethau Busnes y GIG,Angiography data collection,Casgliad data am angiograffeg
10148,NHS Business Services Authority,Awdurdod Gwasanaethau Busnes y GIG,Cataract surgery waiting times data collection,Casgliad data am amseroedd aros ar gyfer llawdriniaeth cataractau
10146,NHS Business Services Authority,Awdurdod Gwasanaethau Busnes y GIG,Dental services,Gwasanaethau deintyddol
10379,NHS Delivery Unit,Uned Gyflawni’r GIG,Pathways of Care Delays,Oedi yn achos Llwybrau Gofal
10372,NHS Digital,Digidol GIG,No specific data source,Dim ffynhonnell ddata benodol
10101,NHS Direct Wales,Galw Iechyd Cymru,No specific data source,Dim ffynhonnell ddata benodol
10342,NHS Organisations,Sefydliadau’r GIG,No specific data source,Dim ffynhonnell ddata benodol
10144,NHS Staff,Staff GIG,NHS electronic staff record,Cofnod staff electronig y GIG
10075,NHS Trusts and Local Health Boards,Ymddiriedolaethau GIG a Byrddau Iechyd Lleol,Community contraception service returns (KT31),Ffurflenni gwasanaethau atal cenhedlu cymunedol (KT31)
10076,NHS Trusts and Local Health Boards,Ymddiriedolaethau GIG a Byrddau Iechyd Lleol,Complaints returns (KO41),Ffurflenni cwynion (KO41)
10256,NHS Trusts and Local Health Boards,Ymddiriedolaethau GIG a Byrddau Iechyd Lleol,Programme budget returns from local health boards,Datganiadau cyllideb rhaglenni gan y byrddau iechyd lleol
10272,NHS Wales Directory,Cyfeiriadur GIG Cymru,Geographical information,Gwybodaeth ddaearyddol
10188,NHS Wales Shared Services Partnership,Partneriaeth Cydwasanaethau GIG Cymru,Contractor Services,Gwasanaethau Contractwyr
10348,NHS Wales Shared Services Partnership,Partneriaeth Cydwasanaethau GIG Cymru,Medical Performers List (MPL),Rhestr o Gyflawnwyr Meddygol (MPL)
10187,NHS Wales Shared Services Partnership,Partneriaeth Cydwasanaethau GIG Cymru,Prescribing Services,Gwasanaethau Presgripsiwn
10293,NHS Wales Shared Services Partnership,Partneriaeth Cydwasanaethau GIG Cymru,Primary Care Services,Gwasanaethau Gofal Sylfaenol
10346,NHS Wales Shared Services Partnership,Partneriaeth Cydwasanaethau GIG Cymru,Wales National Workforce Reporting System (WNWRS),System Adrodd Genedlaethol ar gyfer Gweithlu Cymru (WNWRS)
10279,NHS Wales Shared Services Partnership,Partneriaeth Cydwasanaethau GIG Cymru,Workforce Services,Gwasanaethau’r Gweithlu
10155,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),"1871, 1901, 1931, 1961-1991 Censuses","Cyfrifiad 1871, 1901, 1931, 1961-1991"
10050,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),2001 Census,Cyfrifiad 2001
10065,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),2011 Census,Cyfrifiad 2011
10375,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),2021 Census,Cyfrifiad 2021
10220,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Annual Business Survey (ABS),Arolwg Busnes Blynyddol (ABS)
10047,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Annual Population Survey (APS),Arolwg Blynyddol o’r Boblogaeth (APS)
10070,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Annual Survey of Hours and Earnings (ASHE),Arolwg Blynyddol o Oriau ac Enillion (ASHE)
10104,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Births registrations,Cofrestriadau genedigaeth
10071,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Business demography,Demograffeg busnes
10072,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Business Register Employment Survey (BRES),Arolwg Cyflogaeth y Gofrestr Fusnes (BRES)
10195,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Conception statistics,Ystadegau beichiogi
10240,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Consumer price inflation,Chwyddiant ym mhrisiau defnyddwyr
10178,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Deaths registrations,Cofrestriadau marwolaethau
10242,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Excess winter deaths,Marwolaethau ychwanegol y gaeaf
10206,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Hospital Mortality,Marwolaethau yn yr ysbyty
10048,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Integrated Household Survey (IHS),Arolwg Aelwydydd Integredig (IHS)
10175,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Inter-Departmental Business Register (IDBR),Cofrestr Busnes Rhyngadrannol (IDBR)
10089,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Internal migration statistics,Ystadegau ymfudo mewnol
10174,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Labour disputes statistics,Ystadegau anghydfodau llafur
10093,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Labour Force Survey (LFS),Arolwg o'r Llafurlu (LFS)
10179,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Labour market statistics,Ystadegau y farchnad lafur
10217,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Life expectancy statistics,Ystadegau disgwyliad oes
10095,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Long-term international migration statistics,Ystadegau ymfudo rhyngwladol hirdymor
10097,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Mid-year population estimates,Amcangyfrifon poblogaeth canol-blwyddyn
10096,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Mid-year population estimates for National Park areas,Amcanestyniadau poblogaeth canol y flwyddyn ar gyfer ardaloedd Parciau Cenedlaethol
10381,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),National population projections for Wales,Amcanestyniadau poblogaeth cenedlaethol ar gyfer Cymru
10243,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Perinatal deaths,Marwolaethau amenedigol
10126,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Population estimates by ethnic group,Amcanestyniadau poblogaeth fesul grŵp ethnig
10359,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Quarterly regional gross domestic product,Cynnyrch domestig gros rhanbarthol chwarterol
10114,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Regional accounts,Cyfrifon Rhanbarthol
10173,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Research and development statistics,Ystadegau ymchwil a datblygu
10172,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Retail prices,Prisiau manwerthu
10171,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Short term output indicators,Dangosyddion allbynnau tymor byr
10115,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Small Area Population Estimates (SAPE),Amcangyfrifon Poblogaeth Ardaloedd Bach (SAPE)
10156,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Standard area measurements,Mesuriadau arwynebedd safonol
10122,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),UK electoral statistics,Ystadegau Etholiadol y DU
10317,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),UK Innovation Survey (UKIS),Arolwg Arloesedd y DU (UKIS)
10123,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),UK Tourism Survey (UKTS),Arolwg Twristiaeth y DU (UKTS)
10292,Office for National Statistics (ONS),Swyddfa Ystadegau Gwladol (SYG),Wealth and Assets Survey (WAS),Arolwg Cyfoeth ac Asedau (WAS)
10197,Office of Rail and Road,Swyddfa Rheilffyrdd a Ffyrdd,National rail trends,Tueddiadau rheilffyrdd cenedlaethol
10304,Ordnance Survey,Arolwg Ordnans,Dwelling counts,Niferoedd anheddau
10222,Organisation for Economic Co-operation and Development (OECD),Sefydliad ar gyfer Cydweithrediad a Datblygiad Economaidd (OECD),Programme for International Student Assessment (PISA),Rhaglen Ryngwladol Asesu Myfyrwyr (PISA)
10192,Public Health Wales,Iechyd Cyhoeddus Cymru,Communicable Disease Surveillance Centre,Canolfan Arolygu Clefydau Trosglwyddadwy
10341,Public Health Wales,Iechyd Cyhoeddus Cymru,"Life expectancy, health expectancy and inequality gap","Disgwyliad oes, disgwyliad oes iach a bwlch anghydraddoldeb"
10110,Public Health Wales,Iechyd Cyhoeddus Cymru,Observatory Analytical Team,Tîm Dadansoddi’r Arsyllfa
10196,Public Health Wales,Iechyd Cyhoeddus Cymru,Screening Services,Gwasanaethau Sgrinio
10276,Public Health Wales,Iechyd Cyhoeddus Cymru,Welsh Cancer Intelligence and Surveillance Unit (WCISU),Uned Gwybodaeth ac Arolygaeth Canser Cymru (WCISU)
10361,Schools Health Research Network,Rhwydwaith Ymchwil Iechyd mewn Ysgolion,No specific data source,Dim ffynhonnell ddata benodol
10271,Sport Wales,Chwaraeon Cymru,Geographical information,Gwybodaeth ddaearyddol
10140,Student Loans Company,Cwmni Benthyciadau Myfyrwyr,Administrative data,Data gweinyddol
10246,Transport Focus,Ffocws ar Drafnidiaeth,National Rail Passenger Survey,Arolwg Teithwyr Rheilffordd Cenedlaethol
10312,Understanding Society (USOC),Arolwg Deall Cymdeithas (USOC),UK Household Longitudinal Study,Astudiaeth Hydredol o Aelwydydd y DU
10287,Universities and Colleges Admissions Service (UCAS),Gwasanaeth Derbyn y Prifysgolion a’r Colegau (UCAS),Under-graduate student admissions data,Data ar dderbyn myfyrwyr israddedig
10203,Visit Britain,Visit Britain,Great Britain Day Visits Survey (GBDVS),Arolwg Ymweliadau Undydd Prydain Fawr (GBDVS)
10215,Visit Britain,Visit Britain,Great Britain Tourism Survey (GBTS),Arolwg Twristiaeth Prydain Fawr (GBTS)
10253,Visit Wales,Croeso Cymru,Wales Accommodation Occupancy Survey,Arolygon Deiliadaeth Llety Cymru
10347,Visit Wales,Croeso Cymru,Wales Tourism Business Barometer,Baromedr Busnes Twristiaeth Cymru
10125,Welsh Ambulance Services NHS Trust,Ymddiriedolaeth GIG Gwasanaethau Ambiwlans Cymru,No specific data source,Dim ffynhonnell ddata benodol
10016,Welsh Government,Llywodraeth Cymru,Access to adoption intermediary services (AA1) data collection,Casgliad data am y gallu i ddefnyddio gwasanaethau cyfryngol mabwysiadu (AA1)
10030,Welsh Government,Llywodraeth Cymru,Accommodation in secure units (SSDA912) data collection,Casgliad data am lety mewn unedau diogel (SSDA912)
10233,Welsh Government,Llywodraeth Cymru,Administrative financial data,Data ariannol gweinyddol
10008,Welsh Government,Llywodraeth Cymru,Adoptions of looked after children (AD1) data collection,Casgliad data am fabwysiadu plant sy'n derbyn gofal (AD1)
10324,Welsh Government,Llywodraeth Cymru,Adult safeguarding,Diogelu oedolion
10328,Welsh Government,Llywodraeth Cymru,Adults receiving care and support,Oedolion sy'n derbyn gofal a chymorth
10001,Welsh Government,Llywodraeth Cymru,Affordable housing provision data collection,Casgliad data am ddarpariaeth tai fforddiadwy
10205,Welsh Government,Llywodraeth Cymru,Bedstock surveys,Arolygon o’r stoc llety
10027,Welsh Government,Llywodraeth Cymru,Budget requirement (BR1) data collection,Casgliad data Gofynion Cyllideb (BR1)
10028,Welsh Government,Llywodraeth Cymru,Budget requirement (Police) (BR2) data collection,Casgliad data Gofynion Cyllideb (Heddlu) (BR2)
10020,Welsh Government,Llywodraeth Cymru,Capital forecast (CFR) data collection,Casgliad data rhagolygon cyfalaf (CFR)
10019,Welsh Government,Llywodraeth Cymru,Capital outturn (COR) data collection,Casgliad data alldro cyfalaf (COR)
10010,Welsh Government,Llywodraeth Cymru,Care leavers on their 19th birthday (OC3) data collection,Casgliad data am bobl ifanc sy'n gadael gofal ar eu pen-blwydd yn 19 oed (OC3)
10151,Welsh Government,Llywodraeth Cymru,Changes in status and detentions under the Mental Health Act 1983 data collection (KP90),"Achosion o dderbyn, newid mewn statws a chadw o dan Ddeddf Iechyd Meddwl 1983 (KP90)"
10074,Welsh Government,Llywodraeth Cymru,Child poverty indicators,Dangosyddion tlodi plant
10006,Welsh Government,Llywodraeth Cymru,Children in need census (CiN) data collection,Casgliad data am gyfrifiad plant mewn angen (CiN)
10007,Welsh Government,Llywodraeth Cymru,Children looked after (SSDA903) data collection,Casgliad data am blant sy'n derbyn gofal (SSDA903)
10329,Welsh Government,Llywodraeth Cymru,Children Receiving Care and Support (CRCS) (aggregate),Plant sy'n Derbyn Gofal a Chymorth (CRCS) (cyfanredol)
10327,Welsh Government,Llywodraeth Cymru,Children Receiving Care and Support (CRCS) Census,Plant sy'n Derbyn Gofal a Chymorth (CRCS) Cyfrifiad
10023,Welsh Government,Llywodraeth Cymru,Council tax collection (CTC) data collection,Casgliad data am gasglu'r dreth gyngor (CTC)
10024,Welsh Government,Llywodraeth Cymru,Council tax dwellings (CT1) data collection,Casgliad data am anheddau'r dreth gyngor (CT1)
10290,Welsh Government,Llywodraeth Cymru,December Census of Agriculture and Horticulture,Rhagfyr Cyfrifiad Amaethyddol a Garddwrol
10044,Welsh Government,Llywodraeth Cymru,Demolitions data collection,Casgliad data am ddymchwel adeiladau
10043,Welsh Government,Llywodraeth Cymru,Disabled facilities grant data collection,Casgliad data am grant cyfleusterau i bobl anabl
10080,Welsh Government,Llywodraeth Cymru,Dwelling stock estimates,Amcangyfrifon o'r Stoc Anheddau
10009,Welsh Government,Llywodraeth Cymru,Educational qualifications of care leavers (OC1) data collection,Casgliad data am gymwysterau addysgol pobl ifanc sy'n gadael gofal (OC1)
10350,Welsh Government,Llywodraeth Cymru,Energy Generation in Wales,Cynhyrchu Ynni yng Nghymru
10353,Welsh Government,Llywodraeth Cymru,"Eye care outcome measures, Monthly submission proforma","Mesurau canlyniadau gofal llygaid, Profforma cyflwyno misol"
10320,Welsh Government,Llywodraeth Cymru,Farm Business Survey (FBS),Arolwg Busnes Fferm (FBS)
10226,Welsh Government,Llywodraeth Cymru,Financial Contingency Funds (FCF) collection,Casgliad Cronfeydd Ariannol Wrth Gefn (FCF)
10082,Welsh Government,Llywodraeth Cymru,Fire service operational data collection,Casgliad data gweithredol y gwasanaeth tân
10034,Welsh Government,Llywodraeth Cymru,Fire service performance indicators data collection,Casglu data dangosyddion perfformiad y gwasanaeth tân
10380,Welsh Government,Llywodraeth Cymru,Flying Start data monitoring returns,Ffurflenni monitro data Dechrau’n Deg
10193,Welsh Government,Llywodraeth Cymru,Flying Start management information,Gwybodaeth rheoli Dechrau'n Deg
10014,Welsh Government,Llywodraeth Cymru,Fostering services (SSDA904) data collection,Casgliad data am wasanaethau maethu (SSDA904)
10270,Welsh Government,Llywodraeth Cymru,Geographical information,Gwybodaeth ddaearyddol
10204,Welsh Government,Llywodraeth Cymru,GP Access Survey,Arolwg Mynediad i Feddyg Teulu
10209,Welsh Government,Llywodraeth Cymru,Grants information,Gwybodaeth am grantiau
10085,Welsh Government,Llywodraeth Cymru,Gypsy and traveller caravan count,Cyfrifiad carafannau sipsiwn a theithwyr
10040,Welsh Government,Llywodraeth Cymru,Hazards and licences data collection,Casgliad data am beryglon a thrwyddedau
10351,Welsh Government,Llywodraeth Cymru,Healthy Child Wales,Plant Iach Cymru
10360,Welsh Government,Llywodraeth Cymru,Help to Buy Wales data,Data Cymorth i Brynu Cymru
10039,Welsh Government,Llywodraeth Cymru,Homelessness data collection,Casgliad data am ddigartrefedd
10086,Welsh Government,Llywodraeth Cymru,Household estimates for Wales,Amcanestyniadau aelwydydd Cymru
10333,Welsh Government,Llywodraeth Cymru,Household projections for National Park areas in Wales,Amcanestyniadau aelwydydd ar gyfer ardaloedd Parciau Cenedlaethol yng Nghymru
10058,Welsh Government,Llywodraeth Cymru,Household projections for Spatial Plan areas in Wales,Amcanestyniadau aelwydydd ar gyfer ardaloedd Cynllunio Gofodol yng Nghymru
10339,Welsh Government,Llywodraeth Cymru,Household projections for Wales,Amcanestyniadau aelwydydd ar gyfer Cymru
10254,Welsh Government,Llywodraeth Cymru,Housing Revenue Account Subsidy (HRAS) collection,Casglu data ar y Cymhorthdal Cyfrif Refeniw Tai (HRAS)
10263,Welsh Government,Llywodraeth Cymru,HR staff data,Data ar staff gan Adnoddau Dynol
10046,Welsh Government,Llywodraeth Cymru,June Census of Agriculture and Horticulture,Mehefin Cyfrifiad Amaethyddol a Garddwrol
